Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
5242,9960953,173745300,2462900,3687900
5243,6524802,119605200,1702100,2424800
5244,3060876,53000300,811200,1169500
5245,8458791,146187900,2095200,2988900
5246,2314596,39338800,554400,747500
5247,6024992,103541700,1432500,2353100
5248,5355179,91662500,1314000,1998200
5249,3939047,72652100,991200,1465400
5250,6262522,111074200,1528800,2315700
5251,8288117,141931000,1960400,2943700
5252,7437888,128595200,1750300,2608600
5253,5215657,89718500,1230800,1842100
5254,2578432,44453300,597600,854700
5255,6676581,114253600,1581500,2368300
5256,2864407,50444300,846200,1069900
5257,2004967,35347400,570700,712400
5258,9611586,170696100,2288300,3542200
5259,1671336,29430600,401600,558700
5260,3052044,51781600,736300,1059500
5261,3452158,59123600,824900,1192400
5262,7733286,134147500,1933700,2730500
5263,2530212,43994300,588200,806700
5264,7077331,119952500,1690800,2659400
5265,6525104,111029200,1555000,2307000
5266,7476017,134809200,1955000,2794700
5267,776910,13772800,160400,239300
5268,7718780,135899200,1899500,2878800
5269,1575772,26742900,367400,513800
5270,3464845,59118400,829100,1241400
5271,3028790,54476600,720600,1068500
5272,6178331,111663700,1864500,2444700
5273,790671,14623600,222200,273100
5274,9316839,173687200,2427300,3573300
5275,7536306,142743100,2267000,3500100
5276,187527,3326500,30500,51300
5277,8038686,146677100,1988800,2947700
5278,5480780,95230900,1335400,2070800
5279,6832910,124075600,1918400,2694300
5280,3366152,59524400,915300,1257300
5281,4245020,74718000,1040500,1586200
5282,8947630,159685100,2211900,3315800
5283,3194041,57904000,799500,1151200
5284,3057658,52657400,700100,1030800
5285,4112054,69567200,996100,1467400
5286,4235562,72665500,992500,1478300
5287,1211521,20968400,264500,380000
5288,9977280,173435400,2458100,3690600
5289,1503702,26513200,357100,498600
5290,6765998,118809800,1680300,2572800
5291,5750433,97648200,1369900,2046100
5292,5183102,96350800,1471300,2038100
5293,2242391,39836600,659200,818400
5294,2626494,46442100,701100,1031200
5295,105864,1882400,19600,28900
5296,4241198,76790900,1070900,1605900
5297,5825491,100642400,1379700,2060400
5298,3975823,74461100,1219200,1570000
5299,4852970,89736700,1349600,1942100
5300,6429856,121623500,1552400,2414500
5301,356802,6652500,60200,105000
5302,4817561,83032000,1155400,1697500
5303,5352897,93257800,1298700,1973500
